,precision,recall,f1-score,support
conspiracy,0.6923076923076923,0.75,0.7199999999999999,36.0
mainstream,0.9042553191489362,0.8762886597938144,0.8900523560209425,97.0
accuracy,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947
macro avg,0.7982815057283142,0.8131443298969072,0.8050261780104712,133.0
weighted avg,0.8468860366956671,0.8421052631578947,0.8440231468724166,133.0
