,precision,recall,f1-score,support
conspiracy,0.6666666666666666,0.7419354838709677,0.7022900763358778,62.0
mainstream,0.9203980099502488,0.8894230769230769,0.9046454767726161,208.0
accuracy,0.8555555555555555,0.8555555555555555,0.8555555555555555,0.8555555555555555
macro avg,0.7935323383084577,0.8156792803970223,0.803467776554247,270.0
weighted avg,0.8621337755666115,0.8555555555555555,0.8581786811167725,270.0
