,precision,recall,f1-score,support
conspiracy,0.5625,0.5454545454545454,0.5538461538461538,33.0
mainstream,0.8514851485148515,0.86,0.8557213930348259,100.0
accuracy,0.7819548872180451,0.7819548872180451,0.7819548872180451,0.7819548872180451
macro avg,0.7069925742574257,0.7027272727272726,0.7047837734404898,133.0
weighted avg,0.7797820665525199,0.7819548872180451,0.7808200178977869,133.0
