,precision,recall,f1-score,support
conspiracy,0.5151515151515151,0.7285714285714285,0.603550295857988,70.0
mainstream,0.8888888888888888,0.76,0.8194070080862534,200.0
accuracy,0.7518518518518519,0.7518518518518519,0.7518518518518519,0.7518518518518519
macro avg,0.702020202020202,0.7442857142857142,0.7114786519721208,270.0
weighted avg,0.7919940142162364,0.7518518518518519,0.7634441567678142,270.0
