,precision,recall,f1-score,support
conspiracy,0.4716981132075472,0.7575757575757576,0.5813953488372093,33.0
mainstream,0.9,0.72,0.7999999999999999,100.0
accuracy,0.7293233082706767,0.7293233082706767,0.7293233082706767,0.7293233082706767
macro avg,0.6858490566037736,0.7387878787878788,0.6906976744186046,133.0
weighted avg,0.793729607036459,0.7293233082706767,0.7457597482077286,133.0
