,Specs,Score
16729,ukraine,90.42586489753629
9401,money,89.86801804039894
3260,cdc,89.81605983178962
18255,you will,88.67801300376519
3722,communist,88.17327295229524
10100,of god,88.10817605198021
15955,to be,87.68416431107616
14431,the church,87.37871287128714
8466,kill,87.32939832444785
13639,suicide,86.21012530940594
10978,pedophile,85.42294007044936
8104,is the,85.24369007707735
12613,same,85.16832172562599
10305,of this,85.14657822948527
3523,climate,84.98071016227192
2159,assassination,84.33688269741609
5975,free,83.99551121536572
10977,pedogate,83.407476954592
6205,globalist,82.80748074807481
10517,one,82.73533857300083
14363,the bible,81.97571163366338
14972,the occult,81.92495408815077
4289,dead,81.82680887025273
7875,into,81.38150303804439
14583,the elite,80.71140864086408
5123,engineering,80.56959813628421
8048,is not,80.21037626314178
17342,we,80.08527939408118
11091,pharma,80.08247602103961
15566,therefore,80.01690412943736
13081,simply,79.76000281990227
15458,them,79.67384973791498
17907,with the,79.65870605080583
7624,in us,79.50371860102678
6856,him,79.46829151665168
8968,madonna,78.91677816430291
6624,he,78.40584297866411
4156,crimes,78.19888075764098
4724,does,78.02171150916868
7044,humanity,77.8774370063411
17181,warfare,77.6018042233911
15568,these,77.53633219091141
13401,star,77.47648732742995
5742,foot,77.32952260669752
14112,that is,77.2684890955312
12638,satan,77.10895672900625
13748,symbolism,77.10895672900625
6063,funded,76.67065197085745
9868,note,75.90144528274944
4157,criminal,75.83755231193223
16645,truth about,75.66115781836804
8413,just,75.2850308562332
8358,jewish,74.95564243924392
7027,http,74.76702506188118
14877,the masses,74.49520919833921
12924,shadow,74.13794582583259
9287,middle east,73.96050365906157
14414,the central,72.93056376533178
8734,life,72.89000587304147
15199,the secret,72.81559405940595
1084,agencies,72.47176761793827
15848,time,71.82340424096905
1065,again,71.76731471690859
2731,bill,71.6998772293095
12558,said,71.427057751467
8979,mainstream media,71.29612961296131
8893,lord,71.14632565850924
2734,bill gates,71.06865374037403
10667,order,70.99604359629514
5532,fbi,70.61881891314133
2271,attack,70.5743292877675
3432,china,70.53585142168066
15176,the same,70.10218426422799
17958,words,70.09863587228978
5892,foreign policy,69.77432476703552
3415,children,69.49955881004769
7931,iraq,69.02104493854559
7722,industry,68.99404848573094
16621,true,68.90631768254951
12415,s,68.61468004113615
9873,nothing,68.52234314464057
15167,the rothschild,67.66554507013203
5977,freedom,67.61972290979097
9022,man,67.11436762692229
16519,toxic,66.98362684629119
8701,let s,66.8150030940594
11222,please,66.8150030940594
7530,in syria,66.74002400240023
10979,pedophiles,66.74002400240023
6661,he is,66.1449963713649
12335,rituals,65.84188520203371
14866,the mainstream,64.74770440753753
15536,there is,64.11598804020292
2562,been,64.0457982536059
15655,things,63.91749463407879
11865,reason,63.65796331835828
10465,on the,63.65463063732651
14668,the flu,63.58415841584159
12411,russian,63.479663435093514
7029,https,63.23252766453117
11235,podesta,63.06948218860349
18181,you are,63.03543316831684
9097,masses,62.88697229097911
3050,cabal,62.52049040841584
4672,disturbing,62.52049040841584
14895,the military,62.52049040841584
12921,sexual,62.1171279462017
8601,law,61.952911895105174
2802,books,61.54579207920793
12281,rich,61.54579207920793
16745,under,61.14796300833943
4537,did,60.906803133671595
15105,the public,60.87089501029311
5257,every,60.83782032615028
14625,the fact,60.73146314631463
4243,dark,60.55789371905941
4309,deaths,60.51100176123382
11294,pope,60.427198602213174
5287,evil,60.05450035931013
8154,israeli,60.037180280528055
11417,president,59.82300452750972
12643,saudi,59.795111386138615
3449,christ,59.648419649657285
2367,back,59.291095211216046
9255,mercury,59.020914917984356
13105,sisters,59.019528274942886
17565,what is,58.91691483601487
17652,which,58.89309193297663
12702,scene,58.79068688118813
7929,iran,58.51121477532368
5564,feet,58.393901636785294
10237,of the cia,58.22937293729373
4862,drug,57.84378646990176
3392,chemical,57.62733460846084
13402,stars,57.53643888979062
14385,the brain,57.53643888979062
3452,christmas,57.4734168729373
4101,cover,57.450185643564375
10933,party,57.44204801577721
6026,from the,57.04166666666666
17345,we are,56.92122080392882
9338,mineral,56.92059029272493
4015,corporation,56.85492299229924
2869,brother,56.57757650765077
3152,cannot,56.31721803980917
7752,influenza,55.97710396039604
15753,this video,55.9390594059406
9548,murder,55.85169432436203
5149,entire,55.58593470416321
2903,bush,55.57124910533224
1189,all the,55.490319712432004
18279,yourself,55.27658649017075
15324,the truth about,55.086154084158416
13247,something,55.01281374602394
5703,flu vaccine,54.926292629262925
6301,great,54.89801980198021
7754,information,54.69740866132069
7189,if,54.65037144339434
6829,hidden,54.52321232123212
5226,even,54.509977151561316
13072,silicon,54.095447044704464
1089,agents,54.09433013613862
15378,the war,54.09433013613862
4934,east,53.93564640294304
9267,metals,53.80760576057607
5511,farm,53.61276127612763
5493,family,53.59484868669988
16974,vaccines,53.34226485148518
9598,nation,53.094099904100375
9934,obama,53.094099904100375
16875,us and,53.02073019801982
1389,ancient,52.83467821782178
4478,destruction,52.83467821782178
16858,upon,52.6739112935684
17955,word,52.6739112935684
3531,climate change,52.617853452859514
9500,mother,52.493962986414935
809,about,52.47963105303617
17684,while,52.26489280757548
16499,torture,52.18055026656513
17093,virginia,51.941705628896244
8726,libya,51.699180074257434
13134,slavery,51.699180074257434
16048,to destroy,51.699180074257434
3897,constitution,51.57735148514852
5091,end,51.57401401694068
10377,official,51.44561331133113
13749,symbols,51.38019801980199
14891,the middle east,51.38019801980199
6232,going,51.236795456889446
4113,covert,51.193156327351495
12040,religious,51.14090957706881
2794,bombing,51.114771403610945
5209,etc,51.114334251821404
8632,leadership,50.99882353787705
859,abuse,50.821318069306926
7028,http www,50.69874174917493
5253,ever,50.627750694276756
16959,vaccine industry,50.50000000000001
12343,robert,50.47855049928069
6461,has,50.43256039952591
4820,dr,50.34367348025124
2786,body,50.29973700495051
6540,have,50.050303383945774
2013,arkansas,49.96953541507997
6129,genocide,49.79789065863108
12268,revelations,49.79789065863108
10844,paid,49.56522075441241
7868,intervention,49.49456133113311
2672,below,49.38742996679908
3170,carbon,49.37290705235777
159,2013,49.34333465615585
12039,religion,49.08856458562524
10603,operation,49.060408415841586
1775,another,48.96663098742307
1308,an,48.785126544466806
1070,against,48.6777564590779
4802,down,48.64868616367007
10971,peace,48.50759951851349
16895,usa,48.50759951851349
14343,the bank,48.4504203653124
12334,ritual,48.44836265721166
5610,files,48.32252475247526
13193,socialist,48.32252475247526
3964,controlled,48.28764042269613
12059,remember,48.18679018637159
2019,army,48.1779531492306
3605,co2,47.85370255775578
17763,why the,47.689768976897696
336,9 11,47.68811881188119
3448,chris,47.6355633121906
9107,matrix,47.59461633663367
10788,over,47.23214797076239
6193,global,47.062653906353574
12305,rights,47.01905406367976
14709,the government,46.74987623762377
8356,jesus christ,46.73898796129613
15320,the true,46.522638201320134
1797,any,46.374336691612314
950,actually,46.36573293415461
16376,to the public,46.20309405940595
5199,establishment,46.11391598718697
3598,cluster,45.927444306930695
13347,spiritual,45.927444306930695
