,Specs,Score
8479,its own,43.16732064843664
5146,empire,43.16706688784565
12869,saudi,43.16706688784565
2695,below is,43.08822354594216
3043,by the mainstream,43.08822354594216
4918,drug,43.0380678480632
3485,citizens,43.02664170774827
8610,kelly,43.01167759778982
3147,can read,42.875708279427286
1076,age,42.87111733999073
15490,the solar,42.700379231105416
18563,yourself,42.69514925665379
3230,cases in,42.68266042460821
18399,wuhan,42.68266042460821
4066,corrupt,42.600331768476366
5709,files,42.600331768476366
8488,jack,42.57308678197571
3333,change,42.56939807936274
13439,solar,42.47599409145095
6336,goes to,42.44967379232673
16988,twitter,42.448859334481114
13428,socialist,42.43447683163042
18141,wilson,42.40034962570313
13751,story,42.34471661420093
17401,virginia,42.24644900964638
7798,indeed,42.02982487863114
4804,dollars,41.9575086659145
17495,war in,41.89528616205904
7505,in fact,41.75547347496935
6912,hidden,41.75243834632483
13757,story of,41.75243834632483
9417,mercury,41.73652507765544
16186,titled,41.68545904820982
951,actually,41.62707061593336
7709,in this,41.530901816693735
11479,politicians,41.42946461214574
9491,millions,41.32664304684464
10683,on this,41.26675426727718
9768,nasa,41.23505540700641
18069,why the,41.19785476574747
2752,billions,41.15698354398504
5615,farm,41.15698354398504
8576,just as,41.15698354398504
17970,which is,41.11430184830947
8509,jesus christ,41.05529161321247
2288,attack,41.052850812268865
6899,here is,41.040233610736664
18228,within,40.96760939419552
1169,all of,40.92794111427438
5282,establishment,40.72351265386948
3931,constitution,40.704164435946026
12400,resistance,40.704164435946026
2643,behind,40.55748507590106
4183,create,40.52424480016715
2873,british,40.520438431467156
2450,bases,40.47616785547987
4740,divine,40.47616785547987
7122,https www,40.47616785547987
11332,pigs,40.47616785547987
14560,the art,40.47616785547987
3627,co2,40.291723319983795
12486,revelation,40.173200493855205
7113,however they,40.122763734791995
9370,medical,40.117506573983576
5225,entire,40.03470314795053
2632,begins,39.97878906072554
9730,murdered,39.97535232778351
8288,isis,39.86864756569972
8633,kills,39.86864756569972
16818,towers,39.86864756569972
15491,the solar system,39.75855831847379
15879,they have,39.631921829206604
1085,agent,39.4621711739076
6375,government and,39.4621711739076
1466,and even,39.397557117323615
3404,chemical,39.33391290999175
6648,have been,39.238838859692024
18259,words,39.08439430415281
9405,men,39.08348084824479
4998,east,38.99906381993422
4254,currency,38.97248995008853
10225,of defense,38.97248995008853
16823,toxins,38.97248995008853
328,9 11,38.956375522051246
9477,military industrial,38.80524344569289
17124,up,38.73382841764887
2928,but,38.66764635677274
1062,again,38.58488209804274
11857,public,38.54355541875326
2385,babies,38.46267530926957
4058,corporations,38.46267530926957
4186,created,38.45129071692134
13487,something,38.444902165617904
3536,click here,38.342521702931265
11950,quite,38.17211007500907
14988,the human,38.09228432353868
7222,i think,38.001091410503946
4059,correct,37.91991869218267
2808,book,37.895612145414404
4681,discovery,37.800440791545086
6211,gay,37.6714573115684
6233,genocide,37.65937126327918
5344,ever,37.65605284876309
3823,concerning,37.517737595351456
7570,in my,37.49127265056285
3496,civilizations,37.33195488074036
9302,mccain,37.33195488074036
9431,metals,37.33195488074036
10082,nsa,37.33195488074036
16412,to free,37.33195488074036
4857,down,37.307740152669766
10537,of you,37.25657545383203
3187,carbon,37.18675107775728
5866,for change,37.15645063398578
4557,detroit,37.139648839201946
12870,saudi arabia,37.139648839201946
15419,the rise of,37.139648839201946
3643,coincidence,37.10030592249025
17188,us is,37.10030592249025
4165,covid 19,37.09562949466392
18464,yet,36.97568704044351
6568,has been,36.9594184225437
1264,always,36.39193458011217
5482,exposed,36.30068750323075
16023,this report,36.23080521994936
3462,chris,36.170787990138656
4151,cover,36.16994760507508
11614,present,36.164529993946495
11382,planet,35.952804317549194
10887,other,35.9241041170759
7589,in our,35.880170489522975
9872,new world,35.85868511286864
7527,in his,35.85739115847386
6340,going on,35.855621138166285
4672,discernment,35.820224719101134
15119,the mainstream news,35.820224719101134
9260,massive,35.7518235546854
6354,good,35.534234387280954
7565,in mind,35.51020560831228
16682,to the public,35.51020560831228
17989,while,35.45748596354099
5087,electric,35.3285626615973
14006,syrian,35.32525528785381
5819,folks,35.24386004592618
15538,the sun,35.186365572241456
11567,powerful,35.10578997081753
15635,the video,35.044910925333305
2429,banks,35.032854694589005
3879,connection,34.94904017406097
6802,head,34.9330570162454
3888,consent,34.92653132483677
8683,kremlin,34.92653132483677
9128,magic,34.92653132483677
9070,love,34.9066854858617
10861,order to,34.8875654862297
200,2nd,34.85859582673477
5800,flu shots,34.85859582673477
9255,mass media,34.85859582673477
16800,torture,34.85859582673477
13731,stone,34.794310214591434
9749,mysterious,34.77309744705738
1876,arabia,34.70595392987083
4992,earthquake,34.70595392987083
2088,as i,34.68353899122226
4608,die,34.66880585821261
14827,the entire,34.65787691887047
18279,worked for,34.5878793153858
10004,not only,34.52270730679549
1507,and his,34.52226397267411
2041,arsenal,34.50564617314931
10417,of the deep,34.466079445862064
13594,sponsored,34.466079445862064
15999,this is what,34.466079445862064
17190,us military,34.466079445862064
12776,sadly,34.46010363109128
18539,you think that,34.46010363109128
15639,the virus,34.401231938057606
15144,the middle,34.32065000305453
8677,known to,34.32035864830192
8375,it is the,34.292245402524294
1683,and their,34.23491042111432
10168,of all,34.20550538398295
1563,and many other,34.2002265048238
13601,spraying,34.2002265048238
15133,the matrix,34.2002265048238
998,admitted,34.105423427741684
4803,dollar,34.02967589133409
5626,fatal,33.88834721967678
7302,if you are,33.88834721967678
12254,religious,33.72719596646642
13458,some,33.65580507868191
15833,therefore,33.605626706778494
12858,sars cov,33.58500412446922
12253,religion,33.53337430400762
9196,mandatory,33.50942088693627
859,abused,33.480335903834145
3405,chemicals,33.480335903834145
7323,illuminati,33.480335903834145
10481,of their,33.44136449594053
14085,take a,33.421617275049584
17195,us to,33.421617275049584
8962,list,33.35686849122654
8100,is being,33.16414923520999
6239,geopolitical,33.1502309691305
7602,in reality,33.1502309691305
8700,lacking,33.1502309691305
10556,offered by,33.1502309691305
15329,the power,33.116412938792124
8703,lake,32.968091593837016
8086,is an,32.90107566294955
6070,free shipping,32.83520599250937
7114,however they are,32.83520599250937
18037,who read,32.83520599250937
5488,exposure,32.82314928560561
6150,full,32.744238126270616
8000,into the,32.702428112914085
2846,brazil,32.625421172091976
5655,fed,32.625421172091976
17247,vaccine,32.5670519616433
7166,hypothesis,32.50791296995297
17586,was posted,32.480237219159875
18429,years,32.480004636989065
17158,upon the,32.44530284446826
9421,mers,32.41038726685747
14942,the government,32.29590878144873
18093,will be,32.247766455202864
8183,is no,32.219159864473056
5486,exposing,32.18429221941834
13936,supposedly,32.18429221941834
1221,along,32.153405836943094
1680,and the us,32.07624471919511
6421,greed,32.07624471919511
7157,hunter,32.07624471919511
16344,to discredit,32.07624471919511
6337,going,32.051418287042786
4149,cov 2,32.03738387986904
2056,artificial,32.03046513949555
15380,the real,32.02988862173792
2126,as their,31.9802818622268
5480,explosion,31.9802818622268
6293,global,31.90876519381286
2118,as reported,31.865707673780083
13999,symbolic,31.865707673780083
2660,beings,31.861208620967837
1130,aircraft,31.846425680860996
4237,crown,31.846425680860996
4660,dirty,31.846425680860996
4683,discredit,31.846425680860996
9873,new world order,31.846425680860996
17183,us from,31.846425680860996
4322,david,31.810464815106194
18185,with him,31.800262219277354
10789,operation,31.75101728519743
13764,strain,31.728069933816208
17243,vaccination,31.62994312316632
12437,restaurant,31.58411578173434
3281,censorship,31.571741890535684
4371,debt,31.571741890535684
8195,is now,31.53763837748726
11357,place,31.52937446754967
3179,capitalism,31.448038351719454
12859,sars cov 2,31.37088899543442
13406,so many,31.313334203300794
17049,under the,31.29636943782632
10214,of course,31.244803517968716
1425,and blood,31.244438684826097
4758,do not know,31.244438684826097
10165,of advanced,31.244438684826097
11174,pedophilia and,31.244438684826097
18056,whom,31.17096897728495
4708,disney,31.134779641694628
3097,came,31.10522721395139
17515,warning,31.092410711407215
4784,does not,31.089038952250732
10100,obama,31.089038952250732
9973,not be,31.018230015714003
2885,brother,30.867737657988776
8053,iran,30.867737657988776
9452,middle,30.864818157154836
3535,click,30.853303404203558
7888,injected,30.793078743961978
10172,of america,30.793078743961978
8024,investigation,30.73753155076194
4593,did,30.700301911154437
4781,documents,30.660501224159898
6273,girls,30.660501224159898
3114,can,30.635482424916866
10019,not to,30.543349800128993
1191,all this,30.473790513775846
7196,i have,30.441157797472414
15164,the most,30.34186435323913
15418,the rise,30.293944050488967
17638,waters,30.277006314252738
6330,god in,30.253879325874035
7130,human being,30.253879325874035
9137,mainstream news,30.253879325874035
12757,s time to,30.253879325874035
15448,the satanic,30.253879325874035
16019,this planet,30.253879325874035
16674,to the fact,30.253879325874035
17013,tyranny,30.253879325874035
17493,war and,30.253879325874035
8910,like,30.215550626776817
13656,state and,30.00805632723077
3244,catholic,29.996691017588674
6875,henry,29.996691017588674
9006,located,29.996691017588674
16781,too many,29.99657696063028
264,50 off,29.850187265917604
265,50 off with,29.850187265917604
1255,alternative media,29.850187265917604
1483,and free shipping,29.850187265917604
2215,at 50 off,29.850187265917604
2393,back in stock,29.850187265917604
4012,controversial the,29.850187265917604
4848,double patriot,29.850187265917604
4849,double patriot points,29.850187265917604
7625,in stock,29.850187265917604
8190,is not offered,29.850187265917604
10281,of higher,29.850187265917604
10551,off with double,29.850187265917604
10848,or those who,29.850187265917604
11149,patriot points,29.850187265917604
11150,patriot points and,29.850187265917604
11454,points and free,29.850187265917604
16067,those who read,29.850187265917604
17346,very large,29.850187265917604
18178,with double,29.850187265917604
18179,with double patriot,29.850187265917604
17239,vaccinated,29.833292617053843
2019,army,29.818565876719354
7034,hong,29.77532789157844
7035,hong kong,29.77532789157844
8681,kong,29.77532789157844
1776,answer,29.750023233332158
17365,victims,29.700562502643347
9505,minerals,29.694586165251298
12773,sacrifice,29.694586165251298
9015,logical,29.651689816100983
12192,regards,29.651689816100983
14641,the cdc,29.65069742558889
2387,back,29.555833539485384
9017,long,29.45059015422156
3619,cluster,29.44563562241747
10084,nuclear power,29.44563562241747
11929,queen,29.44563562241747
1438,and child,29.31522704523988
13986,swamp,29.31522704523988
2124,as the,29.294091729297925
2197,assumption,29.290316213891987
2426,bankers,29.262454992739634
10783,openly,29.262454992739634
4776,doctors,29.225241443080815
12632,russian,29.22431368870727
5565,failure,29.18268655458453
3150,can see,29.16934854017172
9759,name of,29.16934854017172
11568,powers,29.16934854017172
766,a war,29.168569087887317
4004,control over,29.168569087887317
7799,indeed the,29.168569087887317
9203,mansion,29.168569087887317
9388,mega,29.168569087887317
10036,nothing more,29.168569087887317
7941,intel,29.162201644867164
9979,not by,29.162201644867164
13982,suspicious,29.162201644867164
14871,the father,29.162201644867164
13933,supposed,29.117012767917142
12857,sars,28.9970845426101
7586,in order to,28.94893609544178
18312,world order,28.824749072024673
8155,is it,28.8165097324022
5675,ferguson,28.810539523212046
3917,conspiracy theories,28.80092481637601
4852,doubt,28.73154915065787
14873,the fbi,28.73154915065787
2636,behalf,28.62068540058054
10876,organized,28.62068540058054
5163,end,28.61941098035849
2443,base,28.586978249970095
8257,is this,28.586978249970095
11389,planetary,28.548416110977975
16321,to create,28.414471742883165
12075,realm,28.382057854650473
2811,books,28.380537502525854
2672,believe that,28.355758250743662
4673,disclaimer,28.293522682594066
10002,not offered,28.293522682594066
17673,we at,28.293522682594066
18533,you see,28.213691480379772
17805,wenger,28.140526976160597
7585,in order,28.13807633375687
18390,wrong,28.13807633375687
4153,cover up,28.082885613230125
10068,now in,28.082885613230125
3807,computer,28.07193230915931
11033,paid,28.07193230915931
13110,series,28.06648982251768
4610,died,28.058545626174123
3638,code,28.05339255519501
7969,interests,28.05339255519501
2648,being a,27.995003257126243
17792,well,27.953993279779198
5384,ex,27.943205142463604
8291,island,27.836982316646232
5291,et al,27.832323730535602
3688,come,27.799547546816115
7098,how the,27.767332866539164
16160,time to,27.767332866539164
8794,leadership,27.720525002467127
1534,and is,27.674131927311688
16716,to us,27.630780791916933
9254,mass,27.615345424128364
7695,in the usa,27.58360393297589
14707,the constitution,27.58360393297589
16184,tissue,27.58360393297589
5618,farms,27.55762046308055
10365,of power,27.55762046308055
8081,is also,27.50789749034903
14935,the global,27.470543817809347
18561,your own,27.38321147941412
40,10th,27.370194408808313
2952,but instead,27.370194408808313
4380,deceive,27.370194408808313
5293,eternal,27.370194408808313
10096,nutrition,27.370194408808313
12513,rigged,27.370194408808313
16277,to by,27.370194408808313
13422,social,27.36085632766903
2822,both,27.32887629347117
12065,realize,27.300496913157268
11313,physical,27.29353038537336
10930,ourselves,27.28539137871889
11892,purpose,27.28539137871889
15608,the universe,27.28539137871889
4997,easily,27.25773147430204
14084,take,27.256687632740935
4365,deaths in,27.240259587686037
4536,destroying,27.240259587686037
2609,before,27.127192370039758
12104,recently,27.11618005723712
14613,the body,27.06051250240838
15228,the official,27.054879359053725
8088,is another,27.046922594002243
9937,noah,27.046922594002243
12289,renewables,27.046922594002243
4548,detective,26.945633420052946
5263,error,26.945633420052946
5798,flu season,26.945633420052946
16846,transcript,26.945633420052946
4164,covid,26.940800794011217
3922,conspiracy theory,26.903587773968127
7705,in their,26.88911292023993
10317,of man,26.84270132848369
13758,story of the,26.84270132848369
15042,the japanese,26.84270132848369
6678,have no,26.75292647051913
11917,qanon,26.742776849194335
4003,control of the,26.7119049744908
10311,of law,26.7119049744908
2753,billions of,26.657045694137032
9297,may seem,26.57909837713315
13203,shedding,26.57909837713315
8613,kenya,26.555682720655305
14834,the establishment,26.555682720655305
15590,the truth is,26.555682720655305
995,admission,26.500218516064457
1279,america is,26.500218516064457
1346,an expert,26.500218516064457
5071,egypt,26.500218516064457
10037,nothing more than,26.500218516064457
10123,occasion,26.500218516064457
11507,porn,26.500218516064457
4351,dealing,26.48698850401866
4710,disorders,26.484351691293462
9409,mental,26.450992379065354
9492,millions of,26.389774179181096
1268,am,26.34650880536435
