,Specs,Score
3328,cia and,95.86153846153847
14662,the occult,95.55558957350003
11821,report,95.49542401184193
778,about,95.22992432715989
6008,going,94.99170615200248
15206,there,94.61006323544427
5508,folks,94.56371986222734
13629,ted,94.3787064676617
5276,family,94.19324531190206
16585,us and,94.0966587182431
5766,freedom,93.99523048408035
2068,assassination,93.69229954971462
3130,catholic,92.8269578889611
7928,israeli,92.48047455032528
6078,great,92.17897779009462
1010,again,91.99257558362035
6150,had,91.6973413927201
7685,iran,91.58227173989208
3838,corporations,91.44738978499683
11998,rich,91.2116440131847
10448,order,91.10455415231533
9418,nations,90.68774730996182
15541,through,90.42612658492314
16566,upon,90.24131188105835
8958,me,90.14194667687207
7510,information,89.30234770338475
10749,pedophile,89.08900511686583
7371,in this,88.9059412132583
4826,electric,88.88333716035208
3982,crimes,88.75801985547378
16605,usa,88.66500477277627
11002,please,88.42331930093125
1015,against,88.2894376479345
3788,controlled,88.2034730195178
13464,symbolism,87.85162277940324
2715,books,87.46214543206509
2985,came,87.09254350601985
14544,the lord,87.04952162265597
2029,as the,86.94367587702514
6438,he is,86.39131753818322
3453,collapse,86.22566268801133
4996,etc,86.19580470002275
9287,most,86.10968097946625
2788,brother,85.07931496364331
2107,at,84.95618643486668
12817,sins,84.76513841051155
13369,summary,84.76513841051155
17964,you will,84.4423354274436
3057,cannot,84.40440961733529
12802,sin,84.30410489359222
7809,is not,84.2636911959652
3155,cdc,84.18806133001118
15363,things,84.17118008231671
11615,reason,83.8542608844191
16775,video,83.7078923838871
15556,thus,83.67387314747461
14585,the military,83.2110728409236
17276,what is,82.8179104477612
2823,bush,82.52257795734084
3405,clinton,81.88327914234601
6001,god s,81.84829163662904
5999,god and,81.67905565013132
4763,economy,81.60256410256413
17255,western,81.60256410256413
12370,saudi,81.37923884849259
14107,the central,81.0722319284292
13105,spy,80.99158906323086
1700,another,80.68009184845008
1489,and many,80.67205864170273
7387,in us,80.52591492012036
4287,destruction,80.2992983798954
15230,there is,80.28439253330683
14565,the masses,80.19110650222832
8779,madonna,80.14756984309224
16532,up,80.05926796141469
6059,governments,79.2482232195665
17671,words,78.9565712800295
