,Specs,Score
13068,tech,45.349623856875496
16155,vaxxed,45.349623856875496
7255,in vaccines,45.28019336847057
10992,protein,45.20061997612932
1777,anyone,45.183965962785436
14766,those who,45.181129839449305
15534,true,45.085727143178566
2040,as reported,45.08032959444675
8378,liver,44.999547210902485
948,admitted,44.835328315640325
6708,i,44.81149305880136
15493,trial,44.794901218263504
4277,destroyed,44.78457643259264
10915,profits,44.78457643259264
14858,titled,44.78457643259264
4080,dangers,44.58803777786753
5295,fbi,44.583754593864846
16352,warfare,44.55223880597015
8464,m,44.47588993193039
12647,statistics,44.195880897022434
11707,russian,44.08625596995857
17307,your,43.82916649839324
13429,the american people,43.69336506139926
3958,court,43.60719117977949
1992,articles,43.47972177565308
2276,autoimmune,43.47972177565308
1092,aids,43.417685442136055
5640,force,43.38997587842922
11892,said the,43.232267543022985
7418,information,43.18852957810433
11618,right to,43.14437860946524
5052,events,42.70754450679448
4636,down,42.68991289999642
11442,reproductive,42.6251117816407
7447,injected,42.49914573552412
16015,vaccine schedule,42.4204605115128
15538,trump,42.3844087322146
9712,of the cdc,42.34545863646591
12844,super,42.34545863646591
6972,in america,42.26623459704139
9821,of women,42.190214755368885
15781,us from,42.1651364813532
9322,not even,42.13605340133503
3100,case,42.07650708509092
2325,back,41.876977888914226
2041,as reported by,41.66946673666842
13113,terror,41.66946673666842
14644,thimerosal is,41.66946673666842
1991,article was posted,41.5820895522388
2813,bring you,41.5820895522388
3838,corbett,41.5820895522388
10620,please use,41.5820895522388
16233,virus,41.51263471020378
5189,exposure,41.42423760594015
8763,melinda,41.37339683492087
17244,you can,41.03025781751412
3232,cervical,40.96236780919523
4279,destruction,40.82659566489161
15062,to force,40.82659566489161
16553,web site,40.82659566489161
15680,university,40.79059015199753
8931,money,40.699017908973744
14578,they are,40.55072611306597
7460,injury,40.511812795319884
8764,melinda gates,40.42375482463985
7374,infection,40.37608169933977
5641,forced,40.26211348054786
1242,american people,40.24394849001659
10765,prepare for,40.14669789821669
4555,doctors,39.956333167588454
170,2003,39.87941775467463
12560,sponsored,39.859071476786916
4187,deep,39.69521113027825
8241,legal,39.66195501041372
6249,hate,39.6280157003925
3233,cervical cancer,39.35347188027526
16629,western,39.13658246861577
9231,news,39.06412579320963
8857,millions,38.79287570424554
3704,connection with,38.761385701309194
6656,however they,38.761385701309194
7475,insert,38.761385701309194
6500,hhs,38.71930207346092
14386,the video,38.71930207346092
17329,youtube,38.66350762542648
12249,shot,38.62724279374589
1443,and free,38.61194029850746
17246,you can follow,38.61194029850746
11706,russia,38.58738468461711
13932,the media,38.53296749085393
9847,official,38.41745441446255
11427,reporting,38.40275325064945
5252,faith,38.34730868271706
2750,body,38.274136530473385
