,Specs,Score
2731,blood,153.83454214336933
16695,ufos,153.5998908110931
11951,report,153.40331710762013
18080,years,152.8017889965502
9426,most,150.8302156419471
3511,come,150.51123532428392
816,above,149.62648218446603
15823,through,149.46161059193545
6971,i have,149.11358300472028
8537,law,148.0669699796311
2875,bush,148.04769564638022
8681,light,147.76735814869488
4604,dr,147.7537790249081
18136,you can,146.06441815704002
15773,those who,146.05728328316897
12129,right,145.71029133728564
12102,revelation,145.29833177869574
5095,ever,143.69352207985693
4470,divine,143.50471784914305
8663,life,142.18363530295045
5808,found,139.34409601766157
10691,out of,138.33010560959775
8923,mainstream media,138.16394890636005
11592,pyramid,138.1287741531
15425,there are,137.25935865774127
4512,does,137.0867532322353
6367,has been,135.95963464559148
11140,please,135.4545192922498
13263,stamp,135.15767090231466
5189,existence,134.32199041063126
5542,flag,134.2069821158571
8047,israel,134.2069821158571
2504,become,133.98743982031945
14643,the king,130.37071075082545
2228,attack,130.02884905227805
978,advanced,129.91681044013572
13480,such,129.86449311325396
3112,cannot,127.38003184462866
1896,are the,127.37980357386044
4104,death,127.26213374085751
15219,the ufo,127.1813525276433
2758,book,126.72634313137922
2539,before,126.43027470314075
12242,russia,126.3442314734045
1698,another,126.29304773125145
11206,pope,126.27241438388761
3788,controlled,126.22090112243716
3358,cia,124.43395836109474
13223,spirit,124.0739780461202
13132,source,123.67612398327684
17574,where,123.2645102542438
13386,story,123.20319318452857
13645,t,122.65989923526308
12605,secret,122.51691878832622
8605,left,122.09671896948555
9641,new world order,120.53551398424517
7445,in this,119.83104491994547
5550,flat earth,119.79887823699143
9059,material,119.64535226818448
10598,order to,119.40987265047342
15801,thousands,119.30157646044202
17963,world order,119.27916849098627
17005,video,118.83971385840081
13630,syria,118.01614767153366
14556,the great,117.89518569987243
9851,nuclear,116.81004520851468
15841,thus,116.6223981405515
11616,questions,116.29660915668379
15296,the word of,115.88286562131862
2746,body,115.60283180173704
8258,itself,115.5569583797217
7112,illuminati,115.55322254161035
16509,towers,115.55322254161035
10675,ourselves,115.47812720108126
