,Specs,Score
7006,he,88.9993464866914
14436,that the,88.93953153298523
8674,john,87.85351193159946
11206,patriot,87.43773584905662
1156,agenda,87.23403868197448
10117,now,86.52438655945254
820,about,85.9992053816421
6605,globalist,85.61021194326142
5151,earthquake,85.28995090823697
8538,it is,85.14042175360711
9623,modification,84.74861752622331
5080,drug,83.92041939216475
1365,american,83.67067873533102
9957,new world order,81.40754716981132
7022,he is,80.80653017529775
17173,vaccine,80.59678843837816
15932,this is,80.56452438057532
6718,greenhouse gas,80.55351279084343
7520,impacts,79.24152425971347
15959,this report,78.70897002121454
10210,of,78.62419839810087
1021,adaptation,78.34991072237158
17241,videos,78.12318348360904
17407,was,78.0105592240217
1227,al gore,77.87659295740463
7488,illegal,77.87659295740463
12855,said,77.78248793054556
6283,free,77.65835425317152
4273,cortez,77.6027543863792
17620,weapons,77.23472453774765
4322,countries,76.36224173725314
9808,my,76.25427003880637
5599,evil,76.19974539357732
7201,his,75.8305851429615
17240,video,75.6818057025753
1596,and free,75.37735849056602
7491,illuminati,75.37735849056602
10174,ocasio,75.15956020975587
3652,claim,74.60235242208465
7151,here,73.92430491347534
10104,nothing,73.05244907241517
15724,them,72.94761884230303
10175,ocasio cortez,72.7310301398761
11533,pope,72.51317448697665
6715,greenhouse,72.17415907988206
12616,risk,72.11715548884783
10341,of geoengineering,72.1054798582085
5744,extreme,72.0019501779594
16873,true,71.68447351642384
8179,internet,71.67627878663842
11573,posted,71.06775700480206
17257,virginia,71.05804708716084
966,action,70.811656266236
6288,freedom,70.55151486527971
2816,bible,70.53989499452933
7194,him,70.42866733351875
12049,ray,69.96972645194715
12693,russian,69.21447777034606
8135,intellectual,69.19647200510073
11007,out,68.47150650316603
401,9 11,67.96629182704797
15761,there,67.41736336646632
11673,president trump,65.99580959305759
6451,gas emissions,65.90509895516911
17092,upon,65.8555902566183
6500,geo,65.70902307129194
9956,new world,65.70902307129194
9386,mayo,65.66958698372967
6720,greenhouse gas emissions,65.59979927739865
11881,protocol,65.22078353354908
9354,mass,64.74576926131937
14194,temperatures,64.3482939530599
11489,police,63.69905783220066
8763,know,63.686091621185746
7530,impeachment,63.397744750978745
17636,website,62.55752804212814
5686,experiments,62.42801270583639
3823,clinic,62.35294117647059
14939,the global warming,61.7880322100739
1952,aoc,61.183680229217345
15126,the man,61.183680229217345
1946,anyone,60.998378651161616
2818,biden,60.63960115472192
15281,the people,60.63960115472192
4016,completely,60.20778944103383
9653,moon,60.200177026748634
4150,conspiracy theory,60.17246255933124
5871,federal reserve,60.17246255933124
9824,narrative,59.60960844661696
9391,me,59.48224130774732
5867,fed,59.45792618131156
9387,mayo clinic,59.36795994993742
8256,is a,59.0205656483884
4663,democrat,58.9746875077784
4667,democrats,58.83246510968901
4376,covert,58.54492128883231
5400,engineered,58.26691708812985
15134,the media,58.04080572413632
5133,earth,57.883085898652716
2696,been,57.63717651548738
5041,dr,57.42423770135769
6232,fossil,57.28921529270078
2188,article was posted,57.286792452830184
10096,note the,57.286792452830184
15122,the mainstream media,57.286792452830184
6783,guy,57.14980904518298
6498,genetic,56.90562342773084
11446,please,56.736751127588725
17862,whom,56.736751127588725
15618,the us,56.660394421816065
10270,of climate change,56.47995867152369
4737,destroying,56.36251204747488
9555,mind,56.162377705519916
12239,regions,55.80200979763674
17450,was posted,55.541400020465844
12166,reduce,54.91889921363969
13868,such as,54.59789313294116
1232,alaska,54.401738241252644
10639,of whom,54.31699057784495
5608,exactly,54.29755722238181
2249,as reported,54.27169811320754
8949,leftist,54.21666356941254
14612,the bible,54.21666356941254
17218,very,53.93988767868827
1959,apparently,53.80723598418358
9279,man made,53.62547621742533
8286,is being,53.58853594189746
17865,why,53.542701276979564
3978,communist,53.21162566415566
8210,invasion,53.21162566415566
13364,sisters,53.21162566415566
3659,claims,53.051359426808474
2002,are,52.60101356036385
18147,world you,52.539036059224976
11105,paper,52.01853243685382
6188,forces,51.694527286182065
845,about the,51.64544418977973
6651,gore,51.52251871443077
325,50 off,51.256603773584914
15694,the world you,51.256603773584914
2537,ball,51.243836098725474
13634,standard of,51.243836098725474
16271,to destroy,51.243836098725474
17093,upon the,51.22591933455985
9774,movie,51.1458975638872
13547,soviet,51.06625170556616
14869,the fact,50.64288809336086
9092,literally,50.35225163529884
12086,real,49.64680434338706
9559,mineral,49.5620112949605
12375,reported,49.46359434751587
3620,church,49.33463055234137
3657,claiming,49.053540469475266
15704,their,48.812907628459534
15121,the mainstream,48.30190568399177
5018,double patriot,48.241509433962264
5019,double patriot points,48.241509433962264
6285,free shipping,48.241509433962264
11207,patriot points,48.241509433962264
8782,kyoto,47.6396250029518
10269,of climate,47.47288042794439
3576,check out,47.3488137858952
17331,warfare,47.3488137858952
11332,ph,47.1906911941814
12576,right,46.94170085686275
5519,etc,46.85279009440243
9223,made global,46.67852948260798
9281,man made global,46.67852948260798
9624,modified,46.67852948260798
7370,hysteria,46.53855159620384
1207,air,46.21713526405712
1366,american people,46.20730647761134
