,precision,recall,f1-score,support
conspiracy,0.9310344827586207,0.6428571428571429,0.7605633802816901,42.0
mainstream,0.8557692307692307,0.978021978021978,0.9128205128205128,91.0
accuracy,0.8721804511278195,0.8721804511278195,0.8721804511278195,0.8721804511278195
macro avg,0.8934018567639257,0.8104395604395604,0.8366919465511015,133.0
weighted avg,0.8795372050816697,0.8721804511278195,0.8647393130714108,133.0
