,precision,recall,f1-score,support
conspiracy,0.5555555555555556,0.42857142857142855,0.48387096774193544,35.0
mainstream,0.8113207547169812,0.8775510204081632,0.8431372549019608,98.0
accuracy,0.7593984962406015,0.7593984962406015,0.7593984962406015,0.7593984962406015
macro avg,0.6834381551362684,0.6530612244897959,0.6635041113219481,133.0
weighted avg,0.7440141233587113,0.7593984962406015,0.7485934951230068,133.0
