,precision,recall,f1-score,support
conspiracy,0.4074074074074074,0.9166666666666666,0.5641025641025641,36.0
mainstream,0.9423076923076923,0.5051546391752577,0.6577181208053691,97.0
accuracy,0.6165413533834586,0.6165413533834586,0.6165413533834586,0.6165413533834586
macro avg,0.6748575498575499,0.7109106529209621,0.6109103424539666,133.0
weighted avg,0.7975226527858107,0.6165413533834586,0.6323785716226549,133.0
