,precision,recall,f1-score,support
conspiracy,0.4,0.5714285714285714,0.47058823529411764,35.0
mainstream,0.8192771084337349,0.6938775510204082,0.7513812154696133,98.0
accuracy,0.6616541353383458,0.6616541353383458,0.6616541353383458,0.6616541353383458
macro avg,0.6096385542168674,0.6326530612244898,0.6109847253818654,133.0
weighted avg,0.7089410272669626,0.6616541353383458,0.677488325949746,133.0
