,precision,recall,f1-score,support
conspiracy,0.6176470588235294,0.5,0.5526315789473685,42.0
mainstream,0.7878787878787878,0.8571428571428571,0.8210526315789474,91.0
accuracy,0.7443609022556391,0.7443609022556391,0.7443609022556391,0.7443609022556391
macro avg,0.7027629233511586,0.6785714285714286,0.6868421052631579,133.0
weighted avg,0.7341213997560746,0.7443609022556391,0.7362880886426594,133.0
