,precision,recall,f1-score,support
conspiracy,0.8378378378378378,0.8611111111111112,0.8493150684931507,36.0
mainstream,0.9479166666666666,0.9381443298969072,0.9430051813471502,97.0
accuracy,0.9172932330827067,0.9172932330827067,0.9172932330827067,0.9172932330827067
macro avg,0.8928772522522522,0.8996277205040092,0.8961601249201505,133.0
weighted avg,0.9181208934498407,0.9172932330827067,0.9176454515520827,133.0
