,precision,recall,f1-score,support
conspiracy,0.6111111111111112,0.5,0.55,66.0
mainstream,0.8472222222222222,0.8970588235294118,0.8714285714285713,204.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.7291666666666667,0.6985294117647058,0.7107142857142856,270.0
weighted avg,0.7895061728395062,0.8,0.7928571428571428,270.0
