,precision,recall,f1-score,support
conspiracy,0.7567567567567568,0.6666666666666666,0.7088607594936708,42.0
mainstream,0.8541666666666666,0.9010989010989011,0.8770053475935828,91.0
accuracy,0.8270676691729323,0.8270676691729323,0.8270676691729323,0.8270676691729323
macro avg,0.8054617117117118,0.7838827838827839,0.7929330535436268,133.0
weighted avg,0.8234056424845898,0.8270676691729323,0.8239070566146632,133.0
