,precision,recall,f1-score,support
conspiracy,0.782608695652174,0.42857142857142855,0.5538461538461539,42.0
mainstream,0.7818181818181819,0.945054945054945,0.8557213930348259,91.0
accuracy,0.7819548872180451,0.7819548872180451,0.7819548872180451,0.7819548872180451
macro avg,0.7822134387351779,0.6868131868131868,0.7047837734404898,133.0
weighted avg,0.7820678177657584,0.7819548872180451,0.76039237013314,133.0
